last_name, first_name,player_id,year,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,
Machado, Manny,592518,2023,.246,.447,.328,.329,.312,.202,91,15.4,9.5,
Ruiz, Esteury,665923,2023,.238,.309,.279,.269,.290,.071,82.7,9.3,1.8,
Friedl Jr., TJ,670770,2023,.240,.317,.344,.283,.310,.076,86.5,15.6,2.5,
Happ, Ian,664023,2023,.242,.406,.341,.348,.372,.164,89.6,12.2,9.3,
Schwarber, Kyle,656941,2023,.218,.453,.327,.351,.354,.236,91.7,17.8,14.6,
Tovar, Ezequiel,678662,2023,.253,.392,.304,.297,.290,.139,88.5,12.6,8,
Santander, Anthony,623993,2023,.234,.430,.343,.326,.316,.196,90.8,21.8,10.6,
Cronenworth, Jake,630105,2023,.233,.362,.303,.305,.321,.129,87.2,15.6,4.3,
Kwan, Steven,680757,2023,.285,.362,.314,.321,.356,.077,85.9,11.2,1.5,
Arozarena, Randy,668227,2023,.245,.453,.347,.359,.358,.208,92.3,11.5,13.1,
Realmuto, J.T.,592663,2023,.246,.453,.325,.332,.315,.207,89.2,15.7,11.6,
Walker, Christian,572233,2023,.247,.448,.356,.335,.325,.201,88.8,16.8,10.6,
Lindor, Francisco,596019,2023,.255,.473,.345,.355,.343,.218,91.9,18.8,11.3,
Alonso, Pete,624413,2023,.258,.553,.361,.384,.348,.295,89.3,16.5,15.1,
Langeliers, Shea,669127,2023,.194,.360,.270,.269,.259,.166,89.8,20.6,10.8,
Perdomo, Geraldo,672695,2023,.209,.282,.338,.280,.321,.073,85.4,15.9,1.2,
Gimenez, Andres,665926,2023,.237,.362,.302,.300,.312,.125,85.3,13.3,5.3,
Verdugo, Alex,657077,2023,.280,.420,.335,.341,.354,.141,89,7.9,4.8,
Pena, Jeremy,665161,2023,.248,.365,.294,.299,.309,.117,88.3,5.3,4.9,
Heim, Jonah,641680,2023,.271,.471,.348,.344,.329,.200,89.2,18.7,8.6,
Yoshida, Masataka,807799,2023,.280,.440,.362,.342,.341,.160,89.1,3.6,6.1,
Torres, Gleyber,650402,2023,.282,.475,.337,.359,.351,.193,89.5,16.2,8.7,
Straw, Myles,664702,2023,.240,.301,.266,.274,.304,.061,86.8,9.8,0.7,
Marsh, Brandon,669016,2023,.233,.396,.356,.319,.327,.163,91.2,12.1,8.2,
Rizzo, Anthony,519203,2023,.244,.391,.313,.319,.328,.147,90,17.8,6.9,
Stephenson, Tyler,663886,2023,.240,.379,.303,.314,.328,.138,88.5,9.4,7.1,
Profar, Jurickson,595777,2023,.248,.348,.308,.309,.332,.100,86.8,14.2,4.1,
Vaughn, Andrew,683734,2023,.248,.437,.324,.327,.314,.189,91,13.1,9.7,
Melendez Jr., MJ,669004,2023,.230,.427,.297,.320,.307,.197,93.5,17.7,12.7,
Lowe, Nathaniel,663993,2023,.267,.414,.358,.343,.363,.147,89.8,7.6,7.1,
Bogaerts, Xander,593428,2023,.253,.396,.321,.322,.331,.143,87.6,7,6.5,
Tatis Jr., Fernando,665487,2023,.297,.544,.334,.383,.351,.247,92.3,10.8,11.4,
Diaz, Elias,553869,2023,.244,.389,.324,.306,.305,.145,88.3,13,7,
Wiemer Jr., Joey,686894,2023,.215,.394,.297,.302,.293,.179,89.3,11.8,10,
Reynolds, Bryan,668804,2023,.286,.498,.339,.368,.352,.212,91.4,12.7,11.7,
Acuna Jr., Ronald,660670,2023,.351,.636,.427,.454,.434,.285,95.1,7.7,14.4,
France, Ty,664034,2023,.264,.393,.312,.325,.337,.130,86.7,13.1,5.9,
Riley, Austin,663586,2023,.274,.506,.355,.361,.338,.231,92.2,13.5,12.6,
Conforto, Michael,624424,2023,.244,.414,.313,.330,.339,.170,89,11.6,7.6,
Correa, Carlos,621043,2023,.247,.420,.302,.323,.320,.173,90.1,10.7,9.8,
Muncy, Max,571970,2023,.226,.517,.349,.375,.361,.291,91,22.4,17.4,
Steer, Spencer,668715,2023,.250,.408,.352,.329,.336,.158,89.4,16.5,5.9,
Semien, Marcus,543760,2023,.264,.421,.350,.333,.339,.157,88.3,19.4,5.9,
Albies, Ozzie,645277,2023,.255,.452,.347,.331,.316,.196,88.9,16.6,8.7,
Franco, Wander,677551,2023,.296,.470,.347,.359,.359,.174,89.5,8.8,7.3,
Benintendi, Andrew,643217,2023,.268,.358,.303,.304,.334,.090,86.5,13.1,2.6,
Bohm, Alec,664761,2023,.283,.442,.341,.339,.337,.160,89.6,10.2,5.9,
Turner, Trea,607208,2023,.258,.402,.296,.310,.309,.145,89.5,13.8,6.8,
Garcia, Adolis,666969,2023,.259,.544,.366,.378,.341,.285,91.9,15.1,16.4,
De La Cruz, Bryan,650559,2023,.269,.438,.320,.330,.320,.169,90.8,10,8.2,
Meneses, Joey,608841,2023,.244,.360,.323,.287,.292,.116,89.1,9,6.1,
Martinez, J.D.,502110,2023,.270,.559,.360,.375,.326,.289,93.1,18.3,17.4,
Thomas, Lane,657041,2023,.253,.412,.347,.310,.301,.159,88.3,11.4,8.7,
Smith, Dominic,642086,2023,.255,.372,.306,.312,.327,.118,85.7,11.1,4.9,
Yelich, Christian,592885,2023,.293,.476,.365,.371,.377,.182,92.4,4.8,9.1,
McMahon, Ryan,641857,2023,.247,.454,.343,.341,.333,.207,91,8.5,11.8,
Kim, Ha-Seong,673490,2023,.252,.387,.365,.333,.354,.135,86.8,15.1,5.6,
Suzuki, Seiya,673548,2023,.260,.408,.321,.331,.341,.148,91.7,11.3,9.2,
Smith, Will,669257,2023,.271,.436,.368,.362,.381,.165,89.1,15.4,6,
Rosario, Amed,642708,2023,.269,.377,.296,.303,.310,.108,88.4,8.1,3.2,
Chapman, Matt,656305,2023,.235,.471,.347,.347,.331,.236,93.7,16.7,17.6,
Abreu, Jose,547989,2023,.235,.360,.279,.292,.297,.125,88.9,10.3,6.8,
Varsho, Daulton,662139,2023,.227,.381,.279,.295,.289,.154,87.8,19.2,6.9,
Gurriel Jr., Lourdes,666971,2023,.252,.436,.330,.322,.302,.185,89.5,10.1,8.7,
Perez, Salvador,521692,2023,.259,.460,.301,.327,.305,.200,90.5,15.9,10.1,
Goldschmidt, Paul,502671,2023,.275,.499,.350,.370,.361,.224,91.5,12.4,11.7,
McCutchen, Andrew,457705,2023,.262,.404,.345,.354,.385,.143,89.4,12.7,7,
Bregman, Alex,608324,2023,.253,.414,.335,.338,.350,.162,88.1,19.2,5.3,
Torkelson, Spencer,679529,2023,.256,.465,.307,.345,.333,.209,92.4,17.4,13.3,
Merrifield, Whit,593160,2023,.254,.352,.334,.293,.307,.098,85.4,13.2,2.7,
Raleigh, Cal,663728,2023,.225,.455,.326,.330,.309,.230,89.4,19.7,12.8,
Diaz, Yandy,650490,2023,.294,.460,.389,.371,.379,.166,94.1,5.4,8.2,
Robert Jr., Luis,673357,2023,.260,.520,.371,.354,.315,.260,88.4,16.5,14.9,
Rutschman, Adley,668939,2023,.280,.453,.353,.364,.379,.173,87.8,12.4,7.1,
Contreras, William,661388,2023,.263,.452,.345,.342,.334,.189,91,3.9,9.8,
LeMahieu, DJ,518934,2023,.256,.387,.301,.317,.331,.131,90,4.2,5.4,
Suarez, Eugenio,553993,2023,.229,.444,.312,.338,.323,.215,90.6,19.3,13.1,
Hernandez, Teoscar,606192,2023,.253,.467,.302,.331,.302,.213,90.6,12.8,14.2,
Wade Jr., LaMonte,664774,2023,.260,.455,.363,.370,.390,.195,88.2,15.8,10.2,
Hoerner, Nico,663538,2023,.269,.356,.318,.306,.328,.087,86.7,10.4,2.3,
Donovan, Brendan,680977,2023,.283,.433,.345,.353,.365,.150,89.3,10.6,5.8,
Marte, Ketel,606466,2023,.270,.433,.364,.343,.350,.163,90.6,11.7,8.5,
Anderson, Tim,641313,2023,.265,.348,.256,.294,.308,.084,88,1.4,3.2,
Springer III, George,543807,2023,.266,.431,.319,.336,.334,.165,88.5,11.2,8.3,
Casas, Triston,671213,2023,.249,.507,.357,.371,.351,.259,91.4,15.5,14.7,
Nootbaar, Lars,663457,2023,.268,.444,.361,.360,.371,.177,89.4,5.6,9.5,
Tucker, Kyle,663656,2023,.302,.535,.377,.396,.389,.233,90.8,13.6,9.5,
McKinstry, Zach,656716,2023,.250,.395,.296,.314,.319,.145,86.9,17.9,8.1,
Ozuna, Marcell,542303,2023,.259,.528,.330,.369,.332,.269,91.5,14.8,15.2,
Hays, Austin,669720,2023,.250,.439,.327,.316,.295,.189,89.8,10.6,9.5,
Volpe, Anthony,683011,2023,.234,.396,.291,.314,.312,.162,89.1,13.6,8.3,
Henderson, Gunnar,683002,2023,.248,.446,.339,.340,.333,.198,92.3,10.8,10.9,
Gorman, Nolan,669357,2023,.246,.520,.347,.363,.328,.274,91.1,21.9,16.1,
Devers, Rafael,646240,2023,.276,.544,.356,.378,.347,.268,92.7,12.6,13.1,
Suwinski, Jack,669261,2023,.212,.497,.344,.361,.337,.285,91.8,22.9,18.4,
Contreras, Willson,575929,2023,.270,.474,.339,.364,.360,.204,91.8,10.7,11.7,
Davis, J.D.,605204,2023,.251,.433,.329,.338,.334,.182,91.5,8.1,10.2,
Bichette, Bo,666182,2023,.321,.512,.364,.373,.353,.191,90.5,5.5,9.4,
Arraez, Luis,650333,2023,.320,.427,.377,.346,.370,.107,88,10.8,2.5,
Olson, Matt,621566,2023,.260,.579,.406,.398,.370,.319,95.1,17.3,18.9,
Renfroe, Hunter,592669,2023,.233,.385,.323,.297,.293,.153,89.1,15.4,6.5,
Santana, Carlos,467793,2023,.238,.364,.309,.305,.319,.127,89.1,12.8,5.7,
Soto, Juan,665742,2023,.267,.515,.394,.399,.413,.248,93.3,5.5,13.3,
Guerrero Jr., Vladimir,665489,2023,.304,.523,.339,.388,.379,.219,93.6,9.2,12.6,
Soler, Jorge,624585,2023,.256,.519,.356,.369,.346,.263,90.7,17.7,14.3,
Paredes, Isaac,670623,2023,.221,.369,.369,.316,.334,.148,87.2,21.6,6.8,
Dubon, Mauricio,643289,2023,.266,.367,.285,.291,.297,.101,86.8,8.7,3.9,
Adames, Willy,642715,2023,.237,.441,.292,.335,.321,.204,86.7,18.2,12.8,
Witt Jr., Bobby,677951,2023,.291,.531,.334,.369,.334,.240,90.6,15.9,11.7,
Freeman, Freddie,518692,2023,.326,.584,.429,.418,.406,.258,90.2,15.8,12.1,
Taveras, Leody,665750,2023,.279,.419,.320,.326,.323,.141,89.9,10.3,7.1,
Rodriguez, Julio,677594,2023,.268,.442,.325,.336,.331,.175,92.8,7.8,10.5,
Candelario, Jeimer,600869,2023,.249,.428,.368,.334,.334,.179,88.4,14.2,7.4,
Hernandez, Enrique,571771,2023,.208,.313,.277,.258,.265,.106,88,17.2,4.4,
Harper, Bryce,547180,2023,.280,.487,.351,.374,.375,.207,91.5,8.2,13.1,
Kelenic, Jarred,672284,2023,.259,.445,.324,.333,.328,.186,91.6,9.8,11,
Crawford, J.P.,641487,2023,.264,.374,.350,.340,.378,.110,89,14.2,4,
Turner, Justin,457759,2023,.264,.462,.356,.345,.335,.198,89.8,15.4,6,
Abrams, CJ,682928,2023,.254,.398,.315,.307,.301,.145,86.9,13.6,6.8,
Naylor, Josh,647304,2023,.296,.491,.354,.352,.339,.196,89,13.8,8.8,
Garcia, Luis,671277,2023,.261,.400,.283,.305,.298,.139,88.3,4.1,6,
Call, Alex,669743,2023,.222,.339,.276,.299,.321,.117,86.8,16.3,5.1,
Bell, Josh,605137,2023,.270,.462,.320,.354,.352,.192,90.3,9.4,10.3,
Castellanos, Nick,592206,2023,.264,.445,.336,.327,.307,.181,88.8,12.5,10.7,
Swanson, Dansby,621020,2023,.259,.481,.340,.357,.341,.222,89.5,12.2,13.2,
Baez, Javier,595879,2023,.234,.340,.256,.271,.274,.106,87.9,7.8,3.8,
Nimmo, Brandon,607043,2023,.256,.437,.338,.349,.354,.181,91.8,11.8,8.9,
Ohtani, Shohei,660271,2023,.300,.648,.438,.434,.407,.348,94.8,13.4,19.9,
