last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Semien, Marcus,543760,2023,508,391,0.279,0.264,0.015000000000000013,0.46,0.421,0.039000000000000035,0.348,0.331,0.01699999999999996
Kwan, Steven,680757,2023,491,385,0.274,0.285,-0.010999999999999954,0.382,0.359,0.02300000000000002,0.321,0.321,0
Freeman, Freddie,518692,2023,491,347,0.341,0.328,0.013000000000000012,0.598,0.594,0.0040000000000000036,0.426,0.422,0.0040000000000000036
Lowe, Nathaniel,663993,2023,487,317,0.285,0.27,0.014999999999999958,0.448,0.41,0.038000000000000034,0.362,0.345,0.017000000000000015
Schwarber, Kyle,656941,2023,487,259,0.18,0.217,-0.037000000000000005,0.419,0.446,-0.027000000000000024,0.322,0.348,-0.025999999999999968
Acuña Jr., Ronald,660670,2023,486,364,0.335,0.35,-0.014999999999999958,0.582,0.642,-0.06000000000000005,0.425,0.457,-0.03200000000000003
Ohtani, Shohei,660271,2023,484,294,0.31,0.304,0.006000000000000005,0.685,0.664,0.02100000000000002,0.447,0.442,0.0050000000000000044
Rodríguez, Julio,677594,2023,484,315,0.248,0.262,-0.014000000000000012,0.414,0.431,-0.017000000000000015,0.315,0.329,-0.014000000000000012
Bregman, Alex,608324,2023,482,361,0.251,0.255,-0.0040000000000000036,0.422,0.421,0.0010000000000000009,0.337,0.34,-0.0030000000000000027
Turner, Trea,607208,2023,480,331,0.235,0.251,-0.016000000000000014,0.368,0.386,-0.018000000000000016,0.286,0.302,-0.016000000000000014
Soto, Juan,665742,2023,479,285,0.277,0.272,0.0050000000000000044,0.527,0.527,0,0.404,0.408,-0.003999999999999948
Goldschmidt, Paul,502671,2023,475,313,0.275,0.276,-0.0010000000000000009,0.455,0.506,-0.05099999999999999,0.354,0.374,-0.020000000000000018
Betts, Mookie,605141,2023,473,328,0.281,0.284,-0.002999999999999947,0.575,0.565,0.010000000000000009,0.403,0.405,-0.0020000000000000018
Olson, Matt,621566,2023,473,279,0.263,0.258,0.0050000000000000044,0.598,0.574,0.02400000000000002,0.402,0.396,0.006000000000000005
Bichette, Bo,666182,2023,471,363,0.321,0.321,0,0.494,0.512,-0.018000000000000016,0.364,0.373,-0.009000000000000008
Witt Jr., Bobby,677951,2023,470,351,0.269,0.292,-0.022999999999999965,0.474,0.534,-0.06000000000000005,0.332,0.369,-0.03699999999999998
Ramírez, José,608070,2023,468,372,0.288,0.29,-0.0020000000000000018,0.501,0.477,0.02400000000000002,0.358,0.358,0
Hoerner, Nico,663538,2023,467,373,0.277,0.27,0.007000000000000006,0.4,0.359,0.041000000000000036,0.319,0.304,0.015000000000000013
Guerrero Jr., Vladimir,665489,2023,467,342,0.265,0.302,-0.03699999999999998,0.439,0.526,-0.08700000000000002,0.338,0.389,-0.05099999999999999
Riley, Austin,663586,2023,467,317,0.276,0.279,-0.0030000000000000027,0.505,0.516,-0.01100000000000001,0.356,0.368,-0.01200000000000001
